Model,Archietecture ,fold,epoch,train_loss,val_loss,val_accuracy,val_f1,val_auc,
efficientnet_b0,"{ 'num_encoders': 4, 'adapter': False, 'adapter_type': None, 'lr': 2e-4, 'batch_size': 16}",2,7,0.4878,0.7127,0.6057,0.544,0.6896,
efficientnet_b0,"{ 'num_encoders': 4, 'adapter': False, 'adapter_type': None, 'lr': 2e-4, 'batch_size': 16}",2,8,0.4317,0.8985,0.5582,0.3673,0.6768,
efficientnet_b0,"{ 'num_encoders': 4, 'adapter': False, 'adapter_type': None, 'lr': 2e-4, 'batch_size': 16}",2,9,0.4224,0.7388,0.5962,0.5304,0.6926,
efficientnet_b0,"{ 'num_encoders': 4, 'adapter': False, 'adapter_type': None, 'lr': 2e-4, 'batch_size': 16}",2,10,0.3996,0.8463,0.5606,0.4127,0.6898,
efficientnet_b0,"{ 'num_encoders': 4, 'adapter': False, 'adapter_type': None, 'lr': 2e-4, 'batch_size': 16}",2,11,0.3816,0.7769,0.5772,0.4826,0.6925,
efficientnet_b0,"{ 'num_encoders': 4, 'adapter': False, 'adapter_type': None, 'lr': 2e-4, 'batch_size': 16}",2,12,0.3712,0.9026,0.5629,0.4065,0.6875,
efficientnet_b0,"{ 'num_encoders': 4, 'adapter': False, 'adapter_type': None, 'lr': 2e-4, 'batch_size': 16}",2,13,0.3527,0.8206,0.5796,0.4685,0.6926,
efficientnet_b0,"{ 'num_encoders': 4, 'adapter': False, 'adapter_type': None, 'lr': 2e-4, 'batch_size': 16}",2,14,0.3525,0.9061,0.5653,0.4039,0.6936,
efficientnet_b0,"{ 'num_encoders': 4, 'adapter': False, 'adapter_type': None, 'lr': 2e-4, 'batch_size': 16}",2,15,0.3428,0.8775,0.5724,0.434,0.6957,
efficientnet_b0,"{ 'num_encoders': 4, 'adapter': False, 'adapter_type': None, 'lr': 2e-4, 'batch_size': 16}",2,16,0.3441,0.8623,0.5748,0.4458,0.6942,
efficientnet_b0,"{ 'num_encoders': 4, 'adapter': False, 'adapter_type': None, 'lr': 2e-4, 'batch_size': 16}",2,17,0.3377,0.8671,0.5677,0.4348,0.6957,
efficientnet_b0,"{ 'num_encoders': 4, 'adapter': False, 'adapter_type': None, 'lr': 2e-4, 'batch_size': 16}",2,18,0.318,0.8761,0.5677,0.4383,0.6942,
efficientnet_b0,"{ 'num_encoders': 4, 'adapter': False, 'adapter_type': None, 'lr': 2e-4, 'batch_size': 16}",2,19,0.3351,0.8716,0.5677,0.4348,0.6979,
efficientnet_b0,"{ 'num_encoders': 4, 'adapter': False, 'adapter_type': None, 'lr': 2e-4, 'batch_size': 16}",2,20,0.3246,0.8734,0.5677,0.4277,0.7011,
,,,,,,,,,
ResNet3D-50,9.97E-05,1,1,0.735832881,0.734804063,0.486175115,0.309597523,0.551619584,https://colab.research.google.com/drive/1iTMoCK-ZfArHj-MeNAGeIUCgNbxc6iJZ#scrollTo=LzCmtI8k7pKm
ResNet3D-50,9.89E-05,1,2,0.69573945,0.701688902,0.576036866,0.650190114,0.601242713,
ResNet3D-50,9.76E-05,1,3,0.682364103,0.658834931,0.592165899,0.640973631,0.645549079,
ResNet3D-50,9.57E-05,1,4,0.620773255,0.936166889,0.51843318,0.234432234,0.650118506,
ResNet3D-50,9.33E-05,1,5,0.627192252,0.810486872,0.529953917,0.410404624,0.61862362,
ResNet3D-50,9.05E-05,1,6,0.613996036,0.799391037,0.603686636,0.532608696,0.677471014,
ResNet3D-50,8.72E-05,1,7,0.585691047,0.815589393,0.624423963,0.709447415,0.65404736,
ResNet3D-50,8.35E-05,1,8,0.527825014,0.71492564,0.64516129,0.660792952,0.696794995,
ResNet3D-50,7.94E-05,1,9,0.541957104,0.891805138,0.580645161,0.494444444,0.685029787,
ResNet3D-50,7.50E-05,1,10,0.528181059,0.776942898,0.633640553,0.624113475,0.701065488,
